id_cliente,tipo_linea,fecha_alta_movil,antiguedad_meses,departamento,provincia,distrito,ciudad_objetivo,mensualidad_pospago,promedio_recarga_mensual,deuda_actual,retrasos_6m,sin_deuda_ni_retrasos_6m_x,canal_preferido,email,email_habilitado,usuario_mi_movistar_activo,tuvo_internet_hogar,fecha_baja_internet_hogar,baja_ultimo_anio_x,baja_ultimo_anio_y,sin_reclamos_activos,sin_reclamos_6m,sin_deuda_ni_retrasos_6m_y,cumple_ticket,elegible_final,reclamos_totales,reclamo_activo,reclamo_ultimos_6m
C000001,POSPAGO,5/09/2023,28,LIMA,LIMA,LIMA,True,90.4,,0.0,0,True,SMS,cliente00001@mail.com,True,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000002,PREPAGO,17/07/2024,18,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,,66.57,2.26,0,False,EMAIL,cliente00002@mail.com,False,False,True,7/05/2023,False,False,True,True,False,False,False,0.0,0,0
C000003,PREPAGO,20/02/2023,35,ICA,ICA,ICA,False,,80.03,0.0,0,True,SMS,cliente00003@mail.com,True,False,False,,False,False,True,True,True,True,False,0.0,0,0
C000004,PREPAGO,2/01/2026,0,LIMA,LIMA,LIMA,True,,11.45,19.92,3,False,EMAIL,cliente00004@mail.com,False,False,False,,False,False,True,False,False,False,False,1.0,False,True
C000005,POSPAGO,21/04/2024,21,PIURA,PIURA,PIURA,False,90.81,,0.0,0,True,SMS,cliente00005@mail.com,True,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000006,POSPAGO,25/10/2025,2,PIURA,PIURA,PIURA,False,67.57,,50.31,0,False,PUSH_APP,cliente00006@mail.com,True,False,False,,False,False,True,True,False,False,False,0.0,0,0
C000007,POSPAGO,12/05/2024,20,LIMA,LIMA,LIMA,True,102.22,,0.0,0,True,WHATSAPP,cliente00007@mail.com,True,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000008,PREPAGO,7/03/2023,34,PIURA,PIURA,PIURA,False,,59.56,0.0,1,False,EMAIL,,False,True,False,,False,False,True,True,False,False,False,0.0,0,0
C000009,PREPAGO,6/09/2025,4,LIMA,LIMA,LIMA,True,,88.7,68.71,0,False,EMAIL,cliente00009@mail.com,True,True,False,,False,False,True,False,False,True,False,1.0,False,True
C000010,PREPAGO,8/10/2024,15,CALLAO,CALLAO,CALLAO,True,,47.61,0.0,0,True,EMAIL,cliente00010@mail.com,True,False,False,,False,False,True,True,True,False,False,0.0,0,0
C000011,POSPAGO,1/12/2025,1,LIMA,LIMA,SAN MIGUEL,True,81.88,,0.0,0,True,WHATSAPP,cliente00011@mail.com,True,True,True,14/10/2025,True,True,True,True,True,True,False,1.0,False,False
C000012,PREPAGO,6/06/2023,31,AREQUIPA,AREQUIPA,AREQUIPA,True,,62.01,0.0,0,True,EMAIL,,False,True,False,,False,False,True,True,True,False,False,0.0,0,0
C000013,PREPAGO,1/07/2023,30,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,,15.18,37.42,0,False,EMAIL,cliente00013@mail.com,True,True,False,,False,False,True,True,False,False,False,0.0,0,0
C000014,POSPAGO,9/11/2023,26,LIMA,LIMA,PUENTE PIEDRA,True,106.75,,0.0,0,True,WHATSAPP,cliente00014@mail.com,True,True,False,,False,False,True,True,True,True,False,1.0,False,False
C000015,POSPAGO,30/08/2025,4,CUSCO,CUSCO,CUSCO,False,85.61,,0.0,0,True,WHATSAPP,,False,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000016,POSPAGO,18/09/2025,3,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,44.24,,0.0,0,True,WHATSAPP,cliente00016@mail.com,True,False,False,,False,False,True,True,True,False,False,0.0,0,0
C000017,POSPAGO,21/11/2025,1,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,73.99,,0.0,1,False,EMAIL,cliente00017@mail.com,True,True,True,10/04/2025,True,True,True,True,False,True,False,0.0,0,0
C000018,POSPAGO,9/12/2025,1,LIMA,LIMA,PUENTE PIEDRA,True,114.1,,0.0,1,False,EMAIL,cliente00018@mail.com,True,True,False,,False,False,True,True,False,True,False,0.0,0,0
C000019,POSPAGO,16/05/2025,8,LIMA,LIMA,LIMA,True,80.04,,0.0,1,False,SMS,cliente00019@mail.com,True,False,False,,False,False,True,True,False,True,False,0.0,0,0
C000020,POSPAGO,26/12/2025,0,LIMA,LIMA,SAN MIGUEL,True,58.33,,0.0,0,True,EMAIL,,False,False,False,,False,False,True,True,True,False,False,0.0,0,0
C000021,PREPAGO,18/12/2024,13,JUNIN,HUANCAYO,HUANCAYO,False,,65.46,0.0,1,False,WHATSAPP,cliente00021@mail.com,True,True,True,15/01/2023,False,False,True,False,False,False,False,1.0,False,True
C000022,POSPAGO,5/05/2023,32,LIMA,LIMA,LIMA,True,44.41,,0.0,0,True,SMS,,False,True,False,,False,False,True,True,True,False,False,0.0,0,0
C000023,POSPAGO,8/01/2026,0,LORETO,MAYNAS,IQUITOS,False,82.18,,0.0,0,True,SMS,cliente00023@mail.com,True,True,True,26/10/2025,True,True,True,True,True,True,False,0.0,0,0
C000024,POSPAGO,22/02/2025,10,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,98.95,,0.0,0,True,WHATSAPP,,False,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000025,POSPAGO,1/04/2025,9,LA LIBERTAD,TRUJILLO,TRUJILLO,True,88.15,,0.0,0,True,EMAIL,cliente00025@mail.com,True,False,False,,False,False,True,True,True,True,False,0.0,0,0
C000026,PREPAGO,23/08/2024,17,AREQUIPA,AREQUIPA,AREQUIPA,True,,83.16,60.22,1,False,WHATSAPP,cliente00026@mail.com,True,False,True,12/10/2025,True,True,True,True,False,True,False,0.0,0,0
C000027,POSPAGO,25/08/2025,4,CALLAO,CALLAO,CALLAO,True,61.77,,0.0,1,False,SMS,cliente00027@mail.com,True,True,False,,False,False,True,True,False,False,False,0.0,0,0
C000028,POSPAGO,3/10/2025,3,LA LIBERTAD,TRUJILLO,TRUJILLO,True,67.55,,0.0,0,True,EMAIL,cliente00028@mail.com,True,False,False,,False,False,True,False,True,False,False,2.0,False,True
C000029,PREPAGO,31/01/2024,23,LIMA,LIMA,LIMA,True,,95.86,26.94,3,False,WHATSAPP,cliente00029@mail.com,True,False,False,,False,False,True,True,False,True,False,0.0,0,0
C000030,POSPAGO,19/08/2025,4,PIURA,PIURA,PIURA,False,89.26,,0.0,0,True,PUSH_APP,cliente00030@mail.com,False,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000031,PREPAGO,14/08/2025,5,LA LIBERTAD,TRUJILLO,TRUJILLO,True,,44.16,0.0,1,False,PUSH_APP,cliente00031@mail.com,True,True,False,,False,False,True,True,False,False,False,0.0,0,0
C000032,POSPAGO,7/10/2023,27,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,95.22,,0.0,1,False,PUSH_APP,cliente00032@mail.com,True,False,False,,False,False,True,True,False,True,False,0.0,0,0
C000033,POSPAGO,14/11/2023,26,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,66.25,,0.0,0,True,SMS,,False,False,False,,False,False,True,True,True,False,False,0.0,0,0
C000034,PREPAGO,31/05/2024,19,LIMA,LIMA,LIMA,True,,86.53,0.0,0,True,SMS,cliente00034@mail.com,True,False,False,,False,False,True,True,True,True,False,0.0,0,0
C000035,PREPAGO,1/10/2025,3,LIMA,LIMA,LIMA,True,,90.31,0.0,0,True,WHATSAPP,cliente00035@mail.com,True,True,False,,False,False,True,True,True,True,True,0.0,0,0
C000036,PREPAGO,14/06/2024,19,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,,88.55,0.0,0,True,EMAIL,cliente00036@mail.com,True,True,False,,False,False,True,True,True,True,False,0.0,0,0
C000037,POSPAGO,17/05/2024,20,LIMA,LIMA,LIMA,True,80.94,,0.0,0,True,EMAIL,cliente00037@mail.com,True,True,True,26/06/2023,False,False,True,True,True,True,False,0.0,0,0
C000038,POSPAGO,8/01/2026,0,CALLAO,CALLAO,CALLAO,True,76.45,,0.0,2,False,WHATSAPP,cliente00038@mail.com,True,False,False,,False,False,True,True,False,True,False,0.0,0,0
C000039,PREPAGO,2/11/2023,26,LIMA,LIMA,PUENTE PIEDRA,True,,91.48,0.0,1,False,WHATSAPP,cliente00039@mail.com,True,True,False,,False,False,True,True,False,True,False,0.0,0,0
C000040,POSPAGO,11/07/2025,6,LIMA,LIMA,LIMA,True,90.4,,0.0,0,True,WHATSAPP,,False,True,False,,False,False,True,False,True,True,False,1.0,False,True
C000041,POSPAGO,27/10/2025,2,LIMA,LIMA,LIMA,True,79.59,,0.0,1,False,EMAIL,,False,True,False,,False,False,True,True,False,True,False,1.0,False,False
C000042,POSPAGO,30/09/2025,3,PIURA,PIURA,PIURA,False,60.74,,41.63,0,False,SMS,cliente00042@mail.com,False,False,True,29/04/2023,False,False,True,True,False,False,False,0.0,0,0
C000043,POSPAGO,12/11/2025,2,CALLAO,CALLAO,CALLAO,True,99.74,,0.0,0,True,EMAIL,cliente00043@mail.com,True,True,False,,False,False,True,True,True,True,True,0.0,0,0
C000044,PREPAGO,1/03/2024,22,LIMA,LIMA,SAN MIGUEL,True,,108.34,29.4,0,False,WHATSAPP,,False,True,False,,False,False,True,True,False,True,False,0.0,0,0
C000045,POSPAGO,4/02/2025,11,ICA,ICA,ICA,False,71.86,,66.36,1,False,EMAIL,,False,False,False,,False,False,True,True,False,True,False,0.0,0,0
C000046,PREPAGO,22/02/2025,10,LIMA,LIMA,LIMA,True,,66.89,0.0,0,True,SMS,cliente00046@mail.com,True,False,False,,False,False,True,True,True,False,False,0.0,0,0
C000047,POSPAGO,10/07/2024,18,LIMA,LIMA,LIMA,True,82.07,,0.0,0,True,WHATSAPP,cliente00047@mail.com,True,True,True,1/10/2025,True,True,True,True,True,True,False,0.0,0,0
C000048,POSPAGO,20/03/2025,10,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,56.16,,36.23,0,False,SMS,,False,True,False,,False,False,True,True,False,False,False,0.0,0,0
C000049,POSPAGO,13/09/2025,4,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,86.84,,0.0,0,True,PUSH_APP,cliente00049@mail.com,False,True,False,,False,False,True,True,True,True,True,0.0,0,0
